id	name	popularity	genres	num_followers	monthly_listeners
1nzgtKYFckznkcVMR3Gg4z	KSI	75	['uk hip hop']	1502840	5848833
0jZCd5FFBIaaiXlIJX6I9h	Azide	59	['bass trap', 'traprun']	17781	607680
6FbDoZnMBTdhhhLuJBOOqP	Jewel	63	['alaska indie', 'lilith', 'permanent wave', 'pop rock', 'singer-songwriter']	490117	1592049
5B7qJhFMehzGcb88OMTwN8	Vattnet Viskar	7	['chaotic black metal']	3656	528
18ioovgcBQpPVcUdRyGCe0	Isla June	26	[]	725	21393
0AONkUEodQkpkdO5Wul6hE	Okko Kamu	29	[]	265	3142
4yiXkMbxDIZ3jgEG89NSC1	Wynonna	52	['country', 'country dawn', 'country rock']	283544	597539
3wyfo3svXNWnszGAEVey11	Tokyo Police Club	49	['canadian indie', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'ontario indie', 'shimmer pop']	169055	298838
5haVH0BTD12sqrvRercNv6	Skrude	29	['dubstep', 'gaming dubstep']	1896	26368
1G3RmMchcUMHeWlQcXBSTh	Éilís Crean	18	['irish neo-traditional', 'jig and reel']	190	7011
5A3ntUGTCKttzOwkoF9AUY	Joseph Jennings	15	[]	20	83
3U5Oag04Yl2WnvPULOlsMD	Kukon	66	['polish hip hop', 'polish trap']	59370	614045
6VMiCKfMjcq2KzrozRA9ko	Michel Fannoun	50	[]	632	305815
4JapLZYJwdeKZis3R7MOBo	Speed Limits	20	['progressive uplifting trance']	1644	9378
4FSTubpEay1eorvJrQd2du	John T	34	[]	89	43765
31T99HEreO5nDrKT4H84Gl	Kendall Morgan	45	[]	1847	4225
3GMuWlPjxsaDOInrqPP1k5	Otis Neon	47	[]	57	367289
6eJa3zG1QZLRB3xgRuyxbm	Dayglow	71	['austindie', 'indie pop', 'modern rock']	425355	4590832
6LQfYurqiaL6tB19ynez50	Barnaby Bright	27	['alternative americana']	3405	15414
3R0EMFbUS5NaombX9GQOn7	Merely	14	['metropopolis']	1292	2149
5obN8rH8vcZiPJprUDj46p	Sintoria	21	[]	140	62
0xgJOglxGiAIiwR8OllT9R	Christopher Hooker	30	[]	3	40854
2iMLFmSsfgkQjyIg8Y6QVj	D Soldierz	38	[]	448	77035
6VcDfoZ0pgSOd5rtQDmbo0	Future Jr.	34	['indie electropop']	3116	28364
2S5BNs8nlCRoKvnw9LuwBU	Oaty.	43	[]	104	196146
45YbCFM0an4hsEXMdQ4k3b	Electric Youth	50	['filter house', 'popwave', 'synthwave']	75477	404467
0jZCd5FFBIaaiXlIJX6I9h	Azide	59	['bass trap', 'traprun']	17781	607680
6FbDoZnMBTdhhhLuJBOOqP	Jewel	63	['alaska indie', 'lilith', 'permanent wave', 'pop rock', 'singer-songwriter']	490117	1592049
5B7qJhFMehzGcb88OMTwN8	Vattnet Viskar	7	['chaotic black metal']	3656	528
18ioovgcBQpPVcUdRyGCe0	Isla June	26	[]	725	21393
0AONkUEodQkpkdO5Wul6hE	Okko Kamu	29	[]	265	3142
4yiXkMbxDIZ3jgEG89NSC1	Wynonna	52	['country', 'country dawn', 'country rock']	283544	597539
3wyfo3svXNWnszGAEVey11	Tokyo Police Club	49	['canadian indie', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'ontario indie', 'shimmer pop']	169055	298838
5haVH0BTD12sqrvRercNv6	Skrude	29	['dubstep', 'gaming dubstep']	1896	26368
1G3RmMchcUMHeWlQcXBSTh	Éilís Crean	18	['irish neo-traditional', 'jig and reel']	190	7011
5A3ntUGTCKttzOwkoF9AUY	Joseph Jennings	15	[]	20	83
3U5Oag04Yl2WnvPULOlsMD	Kukon	66	['polish hip hop', 'polish trap']	59370	614045
6VMiCKfMjcq2KzrozRA9ko	Michel Fannoun	50	[]	632	305815
4JapLZYJwdeKZis3R7MOBo	Speed Limits	20	['progressive uplifting trance']	1644	9378
4FSTubpEay1eorvJrQd2du	John T	34	[]	89	43765
31T99HEreO5nDrKT4H84Gl	Kendall Morgan	45	[]	1847	4225
3GMuWlPjxsaDOInrqPP1k5	Otis Neon	47	[]	57	367289
6eJa3zG1QZLRB3xgRuyxbm	Dayglow	71	['austindie', 'indie pop', 'modern rock']	425355	4590832
6LQfYurqiaL6tB19ynez50	Barnaby Bright	27	['alternative americana']	3405	15414
3R0EMFbUS5NaombX9GQOn7	Merely	14	['metropopolis']	1292	2149
5obN8rH8vcZiPJprUDj46p	Sintoria	21	[]	140	62
0xgJOglxGiAIiwR8OllT9R	Christopher Hooker	30	[]	3	40854
2iMLFmSsfgkQjyIg8Y6QVj	D Soldierz	38	[]	448	77035
6VcDfoZ0pgSOd5rtQDmbo0	Future Jr.	34	['indie electropop']	3116	28364
2S5BNs8nlCRoKvnw9LuwBU	Oaty.	43	[]	104	196146
45YbCFM0an4hsEXMdQ4k3b	Electric Youth	50	['filter house', 'popwave', 'synthwave']	75477	404467
0MOpNkmRlgsmsKNxhrWT85	The Pinstripes	24	['traditional ska']	2467	11951
6hiFukbNj4yzxTtQ2CrUFP	Kurt Herbert Adler	53	[]	157	366339
5H3yKMseYtQYl7AoDYpfWT	Johnny Hamp & His Kentucky Serenaders	7	['vintage jazz']	77	1252
4yMGs8CtlMVF7RV2XU539m	Jimmy Needham	39	['ccm', 'christian alternative rock', 'christian music', 'roots worship', 'worship']	70168	60584
6IbO0lx97ZYeZuAGgh3e6O	Sjön Scott	11	[]	1	2937
004F88I7EWH54o9jNfUbEn	Bellestar	39	['coverchill']	2092	77349
5aBQVxOq5pkoXaasI2VtOo	California Wives	27	['chicago indie', 'metropopolis', 'shimmer pop']	4863	24008
5OH6mZ9jAWB8UnC1447H1j	Colin James	44	['blues rock', 'canadian blues', 'classic canadian rock', 'electric blues', 'modern blues']	20632	158738
0vzxJvDfnwbniaBt97Ylw6	Spencer Day	28	['contemporary vocal jazz']	3074	23062
5gCRApTajqwbnHHPbr2Fpi	Juicy J	77	['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	2403847	4927767
1JZsGhTI51A9ybuQZO07wf	Lisa Marie Presley	32	[]	13259	12395
1FsnZ9e9L7nPFvbCWxZwJm	Jung Yi Han	7	[]	42	948
4I9DN3aBJSdzI26IuzVl0h	Joseph Cline	39	[]	25	101513
7mh5yWKyUcN4xYhEJsWcxI	Sly	30	[]	916	10257
3u2E9OhKS2vkxi08itc25a	Henry Gross	33	[]	2249	54763
1PJVVIeS5Wu0wbZDhtC0Ht	Grace Potter	55	[]	79089	530848
4oVcSA60yk5jowh3pDMcR9	Kiddo AI	40	[]	239	257
0A9p7WNA1VwxVyrjx92Z9F	Abbey Lincoln	39	['contemporary vocal jazz', 'vocal jazz']	21295	109247
1kczQABaLyrxqDOdBRWSgH	Rain, Hurricane & Thunder Storms Sounds	38	['sound']	488	14732
46g5hcuu0pLv0KYtk3m899	Josh Gilligan	39	[]	2348	122920
3VnMzSTRBIOOjIehUe6g16	Standing Like Statues	21	[]	711	3431
2nDq8RpwbuuHqerLBIRGNu	Silvano Carroli	20	['italian baritone']	30	6714
66HwS8U1RybE701IOdJT1x	Los Angeles Master Chorale	32	['american choir', 'choral']	855	41877
3zlxVfcuV4nPjcvTvlPWmZ	Kriesha Chu	27	[]	49146	19096
46ogc4ghPoxhfxvj3ahDNL	Florent Schmitt	19	['early modern classical', 'french romanticism', 'impressionism', 'post-romantic era']	924	7083
0MOpNkmRlgsmsKNxhrWT85	The Pinstripes	24	['traditional ska']	2467	11951
6hiFukbNj4yzxTtQ2CrUFP	Kurt Herbert Adler	53	[]	157	366339
5H3yKMseYtQYl7AoDYpfWT	Johnny Hamp & His Kentucky Serenaders	7	['vintage jazz']	77	1252
4yMGs8CtlMVF7RV2XU539m	Jimmy Needham	39	['ccm', 'christian alternative rock', 'christian music', 'roots worship', 'worship']	70168	60584
6IbO0lx97ZYeZuAGgh3e6O	Sjön Scott	11	[]	1	2937
004F88I7EWH54o9jNfUbEn	Bellestar	39	['coverchill']	2092	77349
5aBQVxOq5pkoXaasI2VtOo	California Wives	27	['chicago indie', 'metropopolis', 'shimmer pop']	4863	24008
5OH6mZ9jAWB8UnC1447H1j	Colin James	44	['blues rock', 'canadian blues', 'classic canadian rock', 'electric blues', 'modern blues']	20632	158738
0vzxJvDfnwbniaBt97Ylw6	Spencer Day	28	['contemporary vocal jazz']	3074	23062
5gCRApTajqwbnHHPbr2Fpi	Juicy J	77	['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	2403847	4927767
1JZsGhTI51A9ybuQZO07wf	Lisa Marie Presley	32	[]	13259	12395
1FsnZ9e9L7nPFvbCWxZwJm	Jung Yi Han	7	[]	42	948
4I9DN3aBJSdzI26IuzVl0h	Joseph Cline	39	[]	25	101513
7mh5yWKyUcN4xYhEJsWcxI	Sly	30	[]	916	10257
3u2E9OhKS2vkxi08itc25a	Henry Gross	33	[]	2249	54763
1PJVVIeS5Wu0wbZDhtC0Ht	Grace Potter	55	[]	79089	530848
4oVcSA60yk5jowh3pDMcR9	Kiddo AI	40	[]	239	257
0A9p7WNA1VwxVyrjx92Z9F	Abbey Lincoln	39	['contemporary vocal jazz', 'vocal jazz']	21295	109247
1kczQABaLyrxqDOdBRWSgH	Rain, Hurricane & Thunder Storms Sounds	38	['sound']	488	14732
46g5hcuu0pLv0KYtk3m899	Josh Gilligan	39	[]	2348	122920
3VnMzSTRBIOOjIehUe6g16	Standing Like Statues	21	[]	711	3431
2nDq8RpwbuuHqerLBIRGNu	Silvano Carroli	20	['italian baritone']	30	6714
66HwS8U1RybE701IOdJT1x	Los Angeles Master Chorale	32	['american choir', 'choral']	855	41877
3zlxVfcuV4nPjcvTvlPWmZ	Kriesha Chu	27	[]	49146	19096
46ogc4ghPoxhfxvj3ahDNL	Florent Schmitt	19	['early modern classical', 'french romanticism', 'impressionism', 'post-romantic era']	924	7083
5DCdWXQ0QHQYlok4KK97em	GuiltyBeatz	45	['ghanaian pop', 'nigerian pop']	6179	231952
0701Axu6yvUIoctaKMbDIZ	Freda Payne	40	['classic soul', 'motown']	11583	154100
3qfrrrSO7utFdJkM2tvMRb	CeCe Winans	52	['gospel']	227281	368847
3VEzgR55OpqT9SyPeOwrQ4	Marcus James	40	['canadian electronic']	1292	121193
3QLPy7F0m9XgChp2Lk9B3N	Lucy Spraggan	54	['talent show']	110505	494449
5VjxZ6Ik0cmnVlXZ3in6nw	Floyd Lavine	35	['afro house']	4554	74971
16GJH7ZlDVulpvX4jJrnfY	Elle Mariachi	30	['hardstyle']	61	33006
0MoXIHcFwhIWnFgBfdvQ30	Little Boots	49	['alternative dance', 'dance pop', 'electroclash', 'electropop', 'neo-synthpop', 'new rave', 'pop dance']	106391	126393
